Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
40b06798-5087-8892-85bd-85ef154cafc1,2001-02-06,,999-36-8889,S99952479,X69616444X,Mr.,Lucio648,Williamson769,,,,white,nonhispanic,M,Weston  Massachusetts  US,178 Ruecker View,Attleboro,Massachusetts,Bristol County,02861,41.95479066685227,-71.32310175676565,615814.6950000001,2156.955
7d9326b2-a9cc-5478-51cd-6b5fd909b8e0,2025-02-23,,999-44-8252,,,,Dwain139,Kassulke119,,,,white,hispanic,M,Springfield  Massachusetts  US,240 Strosin Run Unit 17,Boston,Massachusetts,Suffolk County,02114,42.36080317802934,-71.08159952916489,4678.316500000001,8138.013499999999
91f5c184-71fc-d08d-fd05-fe91d03d703f,1977-06-06,,999-73-2478,S99967634,X77756619X,Mrs.,Cristin88,Auer97,,Price929,M,white,nonhispanic,F,Rochester  Massachusetts  US,895 Swaniawski Ville Unit 14,Westport,Massachusetts,Bristol County,,41.556382628391326,-71.06466472956126,626921.274,340434.556
3bb787a4-e83c-b781-2f54-b095c83156e8,2021-02-08,,999-58-3354,,,,Garfield38,Cummings51,,,,white,nonhispanic,M,Framingham  Massachusetts  US,1069 Lubowitz Neck,Rutland,Massachusetts,Worcester County,,42.36342364140217,-71.93899364169293,149767.45,56.21999999999992
0b426bde-b3e8-e491-2ac1-1beeeeee6aab,1970-06-14,,999-31-3362,S99981896,X33428511X,Mr.,Cletus494,Franecki195,,,M,white,nonhispanic,M,Weston  Massachusetts  US,603 Hermiston Crossroad Apt 9,Shrewsbury,Massachusetts,Worcester County,,42.29651644793447,-71.68469230926706,1419216.9275000005,18838.2225
4f868712-517e-ca2e-1e4a-a15a88e9560c,1984-09-20,,999-32-5247,S99951979,X64113130X,Mr.,Rodolfo763,Kessler503,,,S,white,nonhispanic,M,Billerica  Massachusetts  US,119 Gaylord Common Apt 81,Boylston,Massachusetts,Worcester County,,42.365831035210974,-71.7345769047935,160273.33600000004,181576.84400000004
62fcb236-59d1-6980-eb0d-7eb2bd007856,1948-10-09,,999-54-1424,S99991268,X39422425X,Mr.,Brant303,Beer512,,,M,black,nonhispanic,M,Braintree  Massachusetts  US,817 Hagenes Flat,Boston,Massachusetts,Suffolk County,02113,42.33367498443309,-71.00035592056042,189698.33750000002,26448.712499999998
c61db254-bfb1-da53-d34e-e19a6699008c,1990-09-01,,999-91-6087,S99943937,X63985039X,Mrs.,Rosalia943,McGlynn426,,Bogan287,M,white,nonhispanic,F,Lawrence  Massachusetts  US,642 Smith Dam Apt 48,Shirley,Massachusetts,Middlesex County,,42.614570463417905,-71.68622804296379,1502603.3000000003,25560.06
a4086906-6154-82f3-80e2-7d830e3a96a3,1977-12-17,1979-06-16,999-49-8260,,,,Rima243,Botsford977,,,,white,hispanic,F,Great Barrington  Massachusetts  US,1088 Aufderhar Ranch,Methuen,Massachusetts,Essex County,,42.73335281931622,-71.169492985194,52757.600000000006,0.0
b3b38d06-2b75-3137-b63a-e3d744946ec0,2009-03-10,,999-51-4611,S99998762,,,Cornelius968,Marvin195,,,,white,nonhispanic,M,Methuen  Massachusetts  US,791 Bernhard Underpass,Norwood,Massachusetts,Norfolk County,02062,42.16878968137798,-71.18448360571293,407966.18499999994,4765.785000000001
34161fb0-c3ba-8956-8ebe-448e2e02ef3b,2010-08-24,,999-57-6313,,,,Suzette512,Flatley871,,,,white,nonhispanic,F,Mansfield  Massachusetts  US,148 Deckow Boulevard Apt 5,Canton,Massachusetts,Norfolk County,,42.16197348996821,-71.12810251642064,401014.27999999997,206.21999999999997
6572bae5-22f2-f18a-c8d6-61beb8400f24,1966-06-07,1975-03-25,999-90-8927,,,,Fredric73,Gerhold939,,,,white,nonhispanic,M,Methuen  Massachusetts  US,404 Stanton Bypass,Sudbury,Massachusetts,Middlesex County,,42.414873578137126,-71.46513169567493,283059.99,0.0
bc871554-c933-95c6-3f78-b39610cceeff,1962-06-23,,999-19-3778,S99915817,X63358561X,Mr.,Rogelio17,Terry864,,,M,white,nonhispanic,M,Beverly  Massachusetts  US,504 Prosacco Walk Apt 89,Williamstown,Massachusetts,Berkshire County,01267,42.681611418697045,-73.24243571219901,2044291.2600000007,66350.25
400fed6e-c4e7-9bdd-0090-03a526dbfed0,1989-04-16,,999-27-9450,S99912221,X77553298X,Mrs.,Augusta206,Schiller186,,Morissette863,M,white,nonhispanic,F,Taunton  Massachusetts  US,201 Pfannerstill Vale Unit 60,Boston,Massachusetts,Suffolk County,02131,42.289674463836484,-71.14962874124718,1305181.9374999998,397.13249999999994
fb0ab3fe-251a-684f-e230-fb04da788867,1980-01-02,,999-44-7401,S99987978,X27925814X,Mrs.,Teisha100,Wiza601,,Conn188,M,white,nonhispanic,F,Fitchburg  Massachusetts  US,558 Medhurst Club Apt 34,Agawam,Massachusetts,Hampden County,01030,42.018380955276946,-72.65648886411003,1576866.0100000002,34023.06
6748b003-02c4-ec90-7a85-e59de1058b9a,1987-12-26,,999-48-3263,S99910105,X40489586X,Mr.,Francesco636,Cassin499,,,M,white,nonhispanic,M,Beverly  Massachusetts  US,872 Emmerich Ville,Malden,Massachusetts,Middlesex County,,42.46781278807463,-71.0346779012112,1372983.8325000003,3121.9875
aebf3527-f354-fc79-5192-ebf1a320aa1b,2007-09-30,,999-45-7838,S99919270,,Ms.,Xenia801,Hoeger474,,,,white,nonhispanic,F,Nizhny Novgorod  Nizhny Novgorod Oblast  RU,454 Kiehn Landing Apt 78,Lynn,Massachusetts,Essex County,01906,42.41898450745066,-70.95836541040353,63581.625499999995,86670.88449999999
d805b40d-1d10-3147-3e38-eec47cce2f6b,1966-06-07,,999-36-1107,S99990888,X32499549X,Mr.,Bryant814,Wisoky380,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,555 Abshire Underpass,Sudbury,Massachusetts,Middlesex County,,42.40704512322126,-71.44143813452936,1583800.1300000006,11219.849999999999
056474d2-9be0-b281-5f00-8ddf666b99a6,1977-12-17,,999-31-2622,S99956022,X75208760X,Ms.,Lekisha909,Dicki44,,,S,white,hispanic,F,Kingston  Massachusetts  US,213 Harris Overpass,Methuen,Massachusetts,Essex County,01844,42.70852252098621,-71.17671141266354,1767976.1099999999,2530.4699999999993
6535eacc-f470-b4e5-7142-e20ffa8ea78a,1927-08-14,2021-02-16,999-16-5379,S99928812,X51034641X,Ms.,Jovan870,Harris789,,,S,white,nonhispanic,F,Boston  Massachusetts  US,811 Prosacco Throughway,Andover,Massachusetts,Essex County,01810,42.60197341711059,-71.16977869680562,3077721.3480000007,1268990.4719999998
a58ddb67-dfdd-c9dd-f705-d57bfabe686e,2015-03-14,,999-58-4666,,,,Danny396,Bauch723,,,,black,nonhispanic,M,Falmouth  Massachusetts  US,1008 Kautzer Trace,Plymouth,Massachusetts,Plymouth County,,41.94391067733484,-70.65377944474011,553461.9049999999,307.42499999999995
510f0d01-055b-94f1-3e0f-6d119accfd2c,2015-08-31,,999-23-7621,,,,Sidney996,O'Kon634,,,,white,nonhispanic,M,Waltham  Massachusetts  US,512 Rohan Knoll Unit 9,Norton,Massachusetts,Bristol County,,41.95572704914224,-71.1675795985768,348525.7324999999,1013.1075000000001
ef880d7d-d8ee-ecbe-d4ff-851d5de8d1c4,1978-08-21,,999-59-7947,S99919936,X32048511X,Mr.,Porfirio146,Goodwin327,,,M,asian,nonhispanic,M,Macau  Macao Special Administrative Region of the People's Republic of China  CN,314 Runte Gardens Suite 86,Newton,Massachusetts,Middlesex County,02458,42.38052851299409,-71.17960907447502,1228078.3900000001,12726.869999999999
9c2cd9e0-4232-a96c-7e86-ebf793ef1b8f,1974-03-25,,999-26-9520,S99961394,X88160114X,Mrs.,Katheryn92,Ryan260,,Okuneva707,M,white,nonhispanic,F,Norfolk  Massachusetts  US,888 Mante Bypass,West Springfield,Massachusetts,Hampden County,01089,42.13880892523488,-72.66880094327296,1982866.4140000003,839637.1660000001
032b1a24-4659-6c03-053d-4f62a5bd17e3,2012-11-30,,999-69-1207,,,,Lavern240,Miller503,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,229 Beahan Estate,Melrose,Massachusetts,Middlesex County,02176,42.46228759357281,-71.01629611206069,325651.55,0.0
4e8e142e-5d36-b13c-15e5-c0dd092b4407,1977-02-28,2014-04-19,999-49-2619,S99941468,X4365507X,Mrs.,Tama137,Davis923,,Hintz995,M,asian,nonhispanic,F,Rockland  Massachusetts  US,977 Hayes Grove Suite 22,Walpole,Massachusetts,Norfolk County,02081,42.15080808867077,-71.30180476053094,1612339.102,188734.928
ccb41b76-5383-2e94-de23-16670f1c421a,1979-03-21,,999-59-1243,S99972019,X27524782X,Mr.,Frankie174,Reynolds644,,,M,white,nonhispanic,M,Pittsfield  Massachusetts  US,582 Pacocha Well Suite 73,Brockton,Massachusetts,Plymouth County,02302,42.06987630151241,-71.03489332522277,1910203.8125000005,5243.797500000001
53c27c57-16fd-9806-1dd7-b33d249e9f83,2021-03-15,,999-67-1585,,,,Sang383,Borer986,,,,white,nonhispanic,M,Dennis Port  Massachusetts  US,882 Stracke Quay,Shrewsbury,Massachusetts,Worcester County,,42.25317273323195,-71.68566036650536,137209.41749999998,861.0524999999999
0e3ff44b-ca10-fd2f-bd59-c1416e3e38ff,1965-08-07,,999-30-7299,S99927996,X1497112X,Mr.,Rudy520,Yundt842,,,M,white,nonhispanic,M,Boston  Massachusetts  US,994 Klocko Esplanade,Westfield,Massachusetts,Hampden County,01085,42.10027148858908,-72.70873051615624,192524.75999999998,93190.44
4260d5aa-06da-98a4-aa0f-33f66da5fc34,1960-08-28,,999-53-8266,S99956888,X37685409X,Mr.,Elvin140,Koelpin146,,,M,white,hispanic,M,Boston  Massachusetts  US,472 Zboncak Avenue Unit 61,Plymouth,Massachusetts,Plymouth County,02360,41.84666958099022,-70.63932758740216,1657017.4000000008,1957.58
b667fcbe-c808-bf7f-8c46-3efc635cfdf2,1927-08-14,,999-17-8168,S99947809,X2786805X,Mrs.,Anneliese170,Toy286,,Vandervort697,M,white,nonhispanic,F,Belchertown  Massachusetts  US,1021 Frami Meadow,Andover,Massachusetts,Essex County,,42.66114663440314,-71.15763207371809,2434108.8245000006,178324.89550000007
2dbafc61-17c6-2359-52f8-b7b6c73c34e5,2015-01-31,,999-75-2007,,,,Laurena366,Marks830,,,,white,nonhispanic,F,Somerville  Massachusetts  US,729 Kautzer Fork,Plymouth,Massachusetts,Plymouth County,,41.86873010710232,-70.58310162753676,289167.5575,2407.2525
800de778-edba-440a-4dc6-6e3ba7afa534,1995-09-09,,999-52-8254,S99947655,X7085954X,Mrs.,Treva754,Harber290,,Cormier289,M,white,nonhispanic,F,Marlborough  Massachusetts  US,1046 Herzog Village Apt 44,Boston,Massachusetts,Suffolk County,02109,42.39318083902824,-71.09088820752963,986575.358,185352.75199999998
c2fbb4a2-dc8b-b514-1d7e-b575e413717d,1999-01-24,,999-55-8370,S99917264,X73623391X,Mr.,Matthew562,Wunsch504,,,M,white,nonhispanic,M,Quincy  Massachusetts  US,362 Schmidt Corner,Lowell,Massachusetts,Middlesex County,01852,42.669433043871564,-71.30116527718114,689231.13,2658.42
72514e12-3c43-f6aa-ce85-69c2e4d1f860,1977-02-28,,999-52-9744,S99930143,X4632063X,Mrs.,Krissy321,Wintheiser220,,Bruen238,M,asian,nonhispanic,F,Hudson  Massachusetts  US,911 Kilback Way,Walpole,Massachusetts,Norfolk County,,42.16093005144937,-71.29021445986459,1874705.8215,149675.3485
b2494939-f46b-2c67-7e34-849e38227103,1968-10-27,2022-06-05,999-33-4067,S99969114,X8475717X,Mrs.,Idalia306,Schmidt332,,Leannon79,M,white,nonhispanic,F,Nice  Provence-Alpes-Cote d'Azur  FR,826 Hoeger Junction Apt 74,Bourne,Massachusetts,Barnstable County,02532,41.68013404971177,-70.56525902175837,1706363.8325000003,19085.977499999997
66a01a13-02da-fcff-ea5a-6fdd83ca4c2d,2004-04-05,,999-25-9003,S99917053,X88372388X,Ms.,Twanna669,Kling921,,,,asian,nonhispanic,F,Macau  Macao Special Administrative Region of the People's Republic of China  CN,323 Heller Underpass,Amherst,Massachusetts,Hampshire County,,42.39370904022238,-72.47176331103613,87760.17550000001,304383.3345
89dee881-67b1-94bb-6a64-372f064c1388,1971-02-24,,999-11-8059,S99962478,X10426157X,Mr.,Rupert654,Lynch190,,,M,white,nonhispanic,M,Needham  Massachusetts  US,1065 Lehner Course Unit 4,Walpole,Massachusetts,Norfolk County,,42.16499172056994,-71.2980269069792,1629458.1849999998,43550.594999999994
06b74d0a-ea41-dafd-7517-b36ab8c7899f,2017-09-22,,999-44-7520,,,,Rhett759,Okuneva707,,,,white,nonhispanic,M,Wellesley  Massachusetts  US,597 Crooks Trace,Peru,Massachusetts,Berkshire County,,42.44325513308083,-73.07226107074763,216620.19999999998,2828.6400000000003
ee0a7cda-3fed-b99f-b506-6cf3283c0aab,1973-02-07,,999-47-9164,S99978800,X86645140X,Mr.,Nolan344,Kling921,,,S,white,nonhispanic,M,Grafton  Massachusetts  US,104 Deckow Trail,Norwood,Massachusetts,Norfolk County,,42.2017490909447,-71.20931280285696,1331078.355,3645.435
d4e31aba-74e4-a454-02d5-9a923c670976,1997-08-14,,999-20-9054,S99922181,X42386835X,Ms.,Margarite168,Sanford861,,,S,white,nonhispanic,F,Taunton  Massachusetts  US,919 Bartell Run Apt 92,Quincy,Massachusetts,Norfolk County,02170,42.24298029846869,-70.96863056978434,889839.4280000001,148404.602
87445a26-4697-721f-8491-c8aa4bba3ca2,1951-03-31,,999-20-8029,S99939239,X28257725X,Mrs.,Jewel43,Schmeler639,,Corwin846,M,white,nonhispanic,F,Dartmouth  Massachusetts  US,784 Schumm Drive,Bolton,Massachusetts,Worcester County,,42.485243355758556,-71.56451415199025,2570714.595,43182.37499999999
